RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS(Millions),ER,iPOSTS ON HASHTAG,MEDIA POSTED
1,Selena Gomez,celebrities,musicians,105.4,2.62%æ(1342),14.5Mæ(48),2135
2,Taylor Swift,celebrities,musicians,95.2,1.96%æ(2040),10.5Mæ(66),2669
3,Ariana Grande,celebrities,musicians,92.3,1.43%æ(2759),16.9Mæ(41),824
4,Beyonce,celebrities,musicians,90.6,2.53%æ(1427),9.2Mæ(70),1897
5,Kim Kardashian West,celebrities,tv,89.3,1.39%æ(2812),5.1Mæ(130),550
6,Cristiano Ronaldo,celebrities,athletes,85.1,2.62%æ(1340),3.6Mæ(176),1612
7,Kylie,celebrities,models,81.8,1.89%æ(2127),6.2Mæ(103),302
8,Justin Bieber,celebrities,musicians,77.9,1.66%æ(2408),26.2Mæ(19),501
9,therock,celebrities,athletes,73.3,1.24%æ(3043),1.1Mæ(450),926
10,Kendall,celebrities,models,70.9,1.78%æ(2272),3.4Mæ(183),849
11,Nicki Minaj,celebrities,musicians,70.8,0.93%æ(3525),3.7Mæ(172),416
12,nike,fashion,sport,68.2,1.76%æ(2288),50.6Mæ(5),2832
13,National Geographic,media,nature,65.8,1.14%æ(3184),5.3Mæ(123),31
14,Nj,celebrities,athletes,64,1.52%æ(2617),3.3Mæ(188),555
15,Leo Messi,celebrities,athletes,61.9,4.27%æ(481),5.1Mæ(134),4909
16,Khloe,celebrities,tv,60.2,2.16%æ(1799),1.4Mæ(363),702
17,KATY PERRY,celebrities,musicians,59.6,1.50%æ(2657),3.3Mæ(189),3846
18,Miley Cyrus,celebrities,musicians,57.8,1.41%æ(2784),6Mæ(106),200
19,Jennifer Lopez,celebrities,musicians,55.1,1.23%æ(3052),1.2Mæ(428),1647
20,Demi Lovato,celebrities,musicians,51.3,2.65%æ(1320),6Mæ(108),1782
21,Kourtney Kardashian,celebrities,tv,50.7,1.24%æ(3030),1Mæ(479),746
22,Victoria's Secret,fashion,clothing,49.1,1.03%æ(3358),3.5Mæ(178),390
23,badgalriri,celebrities,musicians,47.3,1.53%æ(2606),1.1Mæ(447),525
24,Kevin Hart,celebrities,actors,45.9,0.68%æ(3906),805.8kæ(551),457
25,FC Barcelona,sport,football,43.3,1.78%æ(2271),2.9Mæ(212),68
